pais,_id,anio_aprobacion,sector_institucional,descripcion_proyecto,monto_bruto_usd,origen
Guatemala,445,1978,Sector Público,Financiar Consultoría Externa para el Diseño Final y la Preparación de Documentos de Licitación y Supervisión del Montaje de la Línea de Transmisión Guatemala Sur  Guatemala Norte,90000.0,prestamos_sector_publico
El Salvador,446,2007,Sector Público,Proyecto Central Térmica Talnique,42000000.0,prestamos_sector_publico
Honduras,447,1978,Sector Público,Costo de Tres Estudios de Factibilidad Sobre el Cultivo y Procesamiento de la Palma Africana el Cultivo del Cacao y el Cultivo de Cítricos,330000.0,prestamos_sector_publico
El Salvador,448,2019,Sector Público,Incremento LGC - Fondo Social para la Vivienda (FSV),60000000.0,prestamos_sector_publico
Guatemala,449,2008,Sector Público, LFP - Municipalidad de Guatemala,1000000.0,prestamos_sector_publico
El Salvador,450,1996,Sector Público,Proyecto Reconstrucción y Equipamiento del Hospital General del ISSS,33300000.0,prestamos_sector_publico
Costa Rica,451,2008,Sector Público,Programa de Obras Eléctricas 2008-2009,65000000.0,prestamos_sector_publico
El Salvador,452,2011,Sector Público,LC - Banco Central de Reserva de El Salvador (BCR),100000000.0,prestamos_sector_publico
Costa Rica,453,1995,Sector Público,LC - Banco de Costa Rica,13000000.0,prestamos_sector_publico
El Salvador,454,2014,Sector Público,Proyecto de Apoyo a la Inversión Productiva y Social,100000000.0,prestamos_sector_publico
El Salvador,455,2014,Sector Público,Emisión de garantías bancarias de cumplimiento a la Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),22000000.0,prestamos_sector_publico
El Salvador,456,1994,Sector Público,Proyecto Telofonía Rural I Etapa,64262000.0,prestamos_sector_publico
El Salvador,457,1994,Sector Público,Sustitución y Mejoramiento del Servicio Telefónico en las Áreas de las Centrales Analógicas de San Salvador,50000000.0,prestamos_sector_publico
Costa Rica,458,2017,Sector Público,Segundo Circuito del Sistema de Interconexión Eléctrica para los Países de América Central (SIEPAC II),128000000.0,prestamos_sector_publico
Guatemala,459,1990,Sector Público,Proyectos de Rehabilitación y Mejoramiento de Varios Tramos de Carretera,2300000.0,prestamos_sector_publico
Honduras,460,1971,Sector Público,Carretera Puerto Cortés - Frontera de Guatemala Ruta CA13,1500000.0,prestamos_sector_publico
El Salvador,461,2013,Sector Público,Proyectos Ampliación de la Carretera al Puerto de La Libertad Tramos II y III y Construcción de los Puentes sobre los Ríos Anguiatú y Paz,144708600.0,prestamos_sector_publico
Guatemala,462,1998,Sector Público,Programa Carreteras Turísticas y de la Oportunidad,45300000.0,prestamos_sector_publico
Honduras,463,1984,Sector Público,Financiar Parcialmente las Construcciones Adquisición de Maquinaria  Equipo y Supervisión para la Ampliación del Sistema Telefónico de Tegucigalpa y de la Red Regional del Norte,7600000.0,prestamos_sector_publico
El Salvador,464,1979,Sector Público,Costo de los Estudios para el Plan de Desarrollo del Sistema Electrico de la Comision Ejecutiva Hidroelectrica del Rio Lempa (Cel) para el Periodo 1982/2000,1000000.0,prestamos_sector_publico
Honduras,465,1981,Sector Público,Participación por Parte del Prestatario en el Programa de Agroempresas Rurales del Banco.,500000.0,prestamos_sector_publico
El Salvador,466,2010,Sector Público,Incremento LGC - Fondo Nacional de Vivienda Popular (FONAVIPO),50000000.0,prestamos_sector_publico
El Salvador,467,1988,Sector Público,Mejoramiento y Reconstrucción de la Carretera San Salvador - San Miguel  II Etapa  Tramo No 2  Desvío Santiago de María - San Miguel,8400000.0,prestamos_sector_publico
El Salvador,468,1981,Sector Público,Compra de Hipotecas Y/o Titulos Hipotecarios Conforme a las Politicas del Programa de Vivienda Media Baja del Banco Vigentes a la Fecha de cada Desembolso.,3000000.0,prestamos_sector_publico
