_id,anio_aprobacion,cantidad,cantidad_aprobaciones,fondo,modalidad,monto_bruto_usd,origen,pais,producto,sector_institucional
205,2022,1.0,,KTF,No Reembolsable,600000.0,cooperacion,Panamá,Cooperación Técnica,
206,2025,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,259241.62,cooperacion,Regional,Cooperación Técnica,
207,2021,3.0,,KTF,No Reembolsable,1425000.0,cooperacion,Costa Rica,Cooperación Técnica,
208,2022,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,138600.0,cooperacion,Institucional,Cooperación Técnica,
209,2020,8.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,470268.75,cooperacion,Honduras,Cooperación Técnica,
210,2022,2.0,,Fondos Ordinarios,No Reembolsable,750000.0,cooperacion,Guatemala,Ayuda de Emergencia y por Desastres Naturales,
211,2024,1.0,,Fondos Ordinarios,No Reembolsable,725000.0,cooperacion,Panamá,Iniciativa PRODES,
212,2022,1.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,Costa Rica,Ayuda de Emergencia y por Desastres Naturales,
213,2020,3.0,,KTF,No Reembolsable,508333.33,cooperacion,Honduras,Cooperación Técnica,
214,2022,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Guatemala,Cooperación de Países Fundadores y Regionales no Fundadores,
215,2022,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Costa Rica,Cooperación de Países Fundadores y Regionales no Fundadores,
216,2021,2.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Honduras,Ayuda de Emergencia y por Desastres Naturales,
217,2022,1.0,,FATPIR - Fondo de Asistencia Técnica para Proyectos de Integración Regional,No Reembolsable,130000.0,cooperacion,Guatemala,Cooperación Técnica,
218,2022,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,147000.0,cooperacion,Costa Rica,Cooperación Técnica,
219,2021,1.0,,FATPIR - Fondo de Asistencia Técnica para Proyectos de Integración Regional,No Reembolsable,550000.0,cooperacion,Honduras,Cooperación Técnica,
220,2022,3.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,244650.0,cooperacion,Guatemala,Cooperación Técnica,
221,2022,2.0,,KTF,No Reembolsable,1120000.0,cooperacion,Costa Rica,Cooperación Técnica,
222,2021,6.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,238980.0,cooperacion,Honduras,Cooperación Técnica,
223,2023,1.0,,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,650000.0,cooperacion,Guatemala,Cooperación Técnica,
224,2023,2.0,,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,200000.0,cooperacion,Costa Rica,Cooperación Técnica,
225,2021,3.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,7382734.79,cooperacion,Honduras,Cooperación Técnica,
226,2024,3.0,,Fondos Ordinarios,No Reembolsable,1178848.0,cooperacion,Guatemala,Ayuda de Emergencia y por Desastres Naturales,
227,2023,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,99750.0,cooperacion,Costa Rica,Cooperación Técnica,
228,2021,2.0,,KTF,No Reembolsable,225000.0,cooperacion,Honduras,Cooperación Técnica,
229,2025,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,152250.0,cooperacion,Guatemala,Cooperación Técnica,
230,2023,2.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1540000.0,cooperacion,Costa Rica,Cooperación Técnica,
231,2022,2.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Honduras,Ayuda de Emergencia y por Desastres Naturales,
232,2023,1.0,,Fondos Ordinarios,No Reembolsable,1050000.0,cooperacion,Costa Rica,Otras Cooperaciones Financieras,
233,2022,2.0,,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,335000.0,cooperacion,Honduras,Cooperación Técnica,
234,2024,1.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,Costa Rica,Ayuda de Emergencia y por Desastres Naturales,
235,2022,5.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,250164.95,cooperacion,Honduras,Cooperación Técnica,
236,2024,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Costa Rica,Cooperación de Países Fundadores y Regionales no Fundadores,
237,2022,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,357500.0,cooperacion,Honduras,Cooperación Técnica,
238,2024,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,99445.5,cooperacion,Costa Rica,Cooperación Técnica,
239,2022,1.0,,KTF,No Reembolsable,850000.0,cooperacion,Honduras,Cooperación Técnica,
240,2024,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,5940000.0,cooperacion,Costa Rica,Cooperación Técnica,
241,2022,1.0,,TCPT - Taiwan CABEI Partnership Trust Fund,No Reembolsable,550000.0,cooperacion,Honduras,Cooperación Técnica,
242,2024,1.0,,Fondos Ordinarios,No Reembolsable,725000.0,cooperacion,Costa Rica,Iniciativa PRODES,
243,2023,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Honduras,Ayuda de Emergencia y por Desastres Naturales,
244,2025,1.0,,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,700000.0,cooperacion,Costa Rica,Cooperación Técnica,
245,2023,6.0,,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,1804500.0,cooperacion,Honduras,Cooperación Técnica,
246,2023,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,52500.0,cooperacion,Honduras,Cooperación Técnica,
247,2023,5.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,7483208.71,cooperacion,Honduras,Cooperación Técnica,
248,2024,2.0,,Fondos Ordinarios,No Reembolsable,750000.0,cooperacion,Honduras,Ayuda de Emergencia y por Desastres Naturales,
249,2024,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Honduras,Cooperación de Países Fundadores y Regionales no Fundadores,
250,2024,4.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,214200.0,cooperacion,Honduras,Cooperación Técnica,
251,2024,1.0,,Fondos Ordinarios,No Reembolsable,725000.0,cooperacion,Honduras,Iniciativa PRODES,
252,2025,7.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,436800.0,cooperacion,Honduras,Cooperación Técnica,
253,2010,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,264600.0,cooperacion,Nicaragua,Cooperación Técnica,
254,2010,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,500000.0,cooperacion,Nicaragua,Cooperación Técnica,
255,2011,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Nicaragua,Ayuda de Emergencia y por Desastres Naturales,
256,2011,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Nicaragua,Cooperación de Países Fundadores y Regionales no Fundadores,
257,2011,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,264600.0,cooperacion,Nicaragua,Cooperación Técnica,
258,2011,5.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,3757728.0,cooperacion,Nicaragua,Cooperación Técnica,
259,2012,2.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,2644901.89,cooperacion,Nicaragua,Cooperación Técnica,
260,2012,1.0,,Fondos Ordinarios,No Reembolsable,230360.0,cooperacion,Nicaragua,Otras Cooperaciones Financieras,
261,2013,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Nicaragua,Ayuda de Emergencia y por Desastres Naturales,
262,2013,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,192294.07,cooperacion,Nicaragua,Cooperación Técnica,
263,2013,1.0,,FSC Taiwan ICDF,No Reembolsable,1000000.0,cooperacion,Nicaragua,Cooperación Técnica,
264,2014,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Nicaragua,Ayuda de Emergencia y por Desastres Naturales,
265,2014,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,39600.0,cooperacion,Nicaragua,Cooperación Técnica,
266,2015,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Nicaragua,Ayuda de Emergencia y por Desastres Naturales,
267,2015,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,Nicaragua,Cooperación de Países Fundadores y Regionales no Fundadores,
268,2015,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,350000.0,cooperacion,Nicaragua,Cooperación Técnica,
269,2016,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Nicaragua,Ayuda de Emergencia y por Desastres Naturales,
270,2016,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,283250.0,cooperacion,Nicaragua,Cooperación Técnica,
271,2017,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Nicaragua,Ayuda de Emergencia y por Desastres Naturales,
272,2017,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1408900.5,cooperacion,Nicaragua,Cooperación Técnica,
273,2018,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Nicaragua,Ayuda de Emergencia y por Desastres Naturales,
274,2018,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1995000.0,cooperacion,Nicaragua,Cooperación Técnica,
275,2019,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,283250.0,cooperacion,Nicaragua,Cooperación Técnica,
276,2020,3.0,,Fondos Ordinarios,No Reembolsable,2000000.0,cooperacion,Nicaragua,Ayuda de Emergencia y por Desastres Naturales,
277,2020,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,36225.0,cooperacion,Nicaragua,Cooperación Técnica,
278,2020,2.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,707598.0,cooperacion,Nicaragua,Cooperación Técnica,
279,2020,2.0,,KTF,No Reembolsable,450000.0,cooperacion,Nicaragua,Cooperación Técnica,
280,2021,1.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,Nicaragua,Ayuda de Emergencia y por Desastres Naturales,
281,2021,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,1227119.25,cooperacion,Nicaragua,Cooperación Técnica,
282,2021,1.0,,FVC - Fondo Verde para el Clima,No Reembolsable,749584.0,cooperacion,Nicaragua,Cooperación Técnica,
283,2021,1.0,,KTF,No Reembolsable,125000.0,cooperacion,Nicaragua,Cooperación Técnica,
284,2022,1.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,Nicaragua,Ayuda de Emergencia y por Desastres Naturales,
285,2022,1.0,,FATPIR - Fondo de Asistencia Técnica para Proyectos de Integración Regional,No Reembolsable,93500.0,cooperacion,Nicaragua,Cooperación Técnica,
286,2022,2.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,81900.0,cooperacion,Nicaragua,Cooperación Técnica,
287,2023,5.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,244072.5,cooperacion,Nicaragua,Cooperación Técnica,
288,2023,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,810579.0,cooperacion,Nicaragua,Cooperación Técnica,
289,2023,1.0,,FVC - Fondo Verde para el Clima,No Reembolsable,748282.0,cooperacion,Nicaragua,Cooperación Técnica,
290,2024,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,880000.0,cooperacion,Nicaragua,Cooperación Técnica,
1,2012,,1.0,,,3000000.0,prestamos,Costa Rica,,Sector Privado
2,2022,,4.0,,,115000000.0,prestamos,Argentina,,Sector Público
3,2015,,1.0,,,50000000.0,prestamos,Argentina,,Sector Público
4,2017,,1.0,,,30000000.0,prestamos,Argentina,,Sector Público
6,2014,,1.0,,,30000000.0,prestamos,Belice,,Sector Público
13,2021,,3.0,,,150000000.0,prestamos,Argentina,,Sector Público
17,2023,,3.0,,,625000000.0,prestamos,Argentina,,Sector Público
18,2016,,2.0,,,90000000.0,prestamos,Argentina,,Sector Público
26,2018,,1.0,,,32000000.0,prestamos,Argentina,,Sector Público
28,2013,,4.0,,,34775000.0,prestamos,Costa Rica,,Sector Privado
33,2011,,1.0,,,50000000.0,prestamos,Colombia,,Sector Público
37,2024,,1.0,,,230000000.0,prestamos,Argentina,,Sector Público
40,2019,,1.0,,,67000000.0,prestamos,Argentina,,Sector Público
44,2012,,4.0,,,350000000.0,prestamos,Costa Rica,,Sector Público
45,2022,,1.0,,,24000000.0,prestamos,Belice,,Sector Público
46,2015,,1.0,,,136000000.0,prestamos,Colombia,,Sector Público
47,2017,,1.0,,,50000000.0,prestamos,Colombia,,Sector Público
49,2014,,1.0,,,50000000.0,prestamos,Colombia,,Sector Público
56,2021,,2.0,,,580000000.0,prestamos,Costa Rica,,Sector Público
60,2010,,2.0,,,10667410.0,prestamos,Belice,,Sector Público
69,2020,,1.0,,,50000000.0,prestamos,Argentina,,Sector Público
71,2013,,4.0,,,515000000.0,prestamos,Costa Rica,,Sector Público
76,2011,,5.0,,,31000000.0,prestamos,Costa Rica,,Sector Privado
80,2024,,1.0,,,770000000.0,prestamos,Costa Rica,,Sector Público
87,2012,,3.0,,,18000000.0,prestamos,El Salvador,,Sector Privado
88,2022,,1.0,,,250000000.0,prestamos,Colombia,,Sector Público
89,2015,,4.0,,,73000000.0,prestamos,Costa Rica,,Sector Privado
99,2021,,1.0,,,20000000.0,prestamos,El Salvador,,Sector Privado
103,2023,,1.0,,,2500000.0,prestamos,Belice,,Sector Público
112,2018,,3.0,,,530284067.0,prestamos,Costa Rica,,Sector Público
114,2013,,4.0,,,199208600.0,prestamos,El Salvador,,Sector Público
119,2011,,3.0,,,499000000.0,prestamos,Costa Rica,,Sector Público
123,2024,,2.0,,,263900000.0,prestamos,El Salvador,,Sector Público
129,2025,,2.0,,,815000000.0,prestamos,Costa Rica,,Sector Público
130,2012,,3.0,,,193161825.0,prestamos,El Salvador,,Sector Público
132,2015,,2.0,,,202587964.87,prestamos,Costa Rica,,Sector Público
142,2021,,3.0,,,864700000.0,prestamos,El Salvador,,Sector Público
146,2010,,1.0,,,35321000.0,prestamos,Colombia,,Sector Privado
147,2016,,1.0,,,50000000.0,prestamos,Costa Rica,,Sector Privado
155,2020,,1.0,,,6000000.0,prestamos,Costa Rica,,Sector Privado
157,2013,,1.0,,,18750000.0,prestamos,Guatemala,,Sector Privado
162,2011,,5.0,,,53625000.0,prestamos,El Salvador,,Sector Privado
172,2012,,5.0,,,86288817.45,prestamos,Guatemala,,Sector Privado
174,2015,,5.0,,,90000000.0,prestamos,El Salvador,,Sector Privado
175,2017,,1.0,,,1350000.0,prestamos,Costa Rica,,Sector Privado
177,2014,,4.0,,,21000000.0,prestamos,Costa Rica,,Sector Privado
182,2021,,1.0,,,7000000.0,prestamos,Guatemala,,Sector Privado
186,2023,,1.0,,,250000000.0,prestamos,Colombia,,Sector Público
187,2016,,3.0,,,291842413.0,prestamos,Costa Rica,,Sector Público
195,2020,,2.0,,,699160000.0,prestamos,Costa Rica,,Sector Público
197,2013,,2.0,,,56802700.0,prestamos,Honduras,,Sector Privado
202,2011,,4.0,,,232212173.8,prestamos,El Salvador,,Sector Público
205,2024,,2.0,,,19000000.0,prestamos,Guatemala,,Sector Privado
212,2012,,1.0,,,280000000.0,prestamos,Guatemala,,Sector Público
213,2022,,3.0,,,1190000000.0,prestamos,Costa Rica,,Sector Público
214,2015,,5.0,,,250521814.0,prestamos,El Salvador,,Sector Público
215,2017,,3.0,,,214410000.0,prestamos,Costa Rica,,Sector Público
217,2014,,4.0,,,308000000.0,prestamos,Costa Rica,,Sector Público
222,2021,,1.0,,,2500000.0,prestamos,Honduras,,Sector Privado
235,2018,,3.0,,,283500000.0,prestamos,El Salvador,,Sector Público
237,2013,,4.0,,,103000000.0,prestamos,Honduras,,Sector Público
242,2011,,4.0,,,64650000.0,prestamos,Guatemala,,Sector Privado
245,2024,,3.0,,,476300000.0,prestamos,Honduras,,Sector Público
248,2019,,2.0,,,640055000.0,prestamos,Costa Rica,,Sector Público
251,2025,,3.0,,,350000000.0,prestamos,El Salvador,,Sector Público
252,2012,,1.0,,,24400000.0,prestamos,Honduras,,Sector Privado
253,2022,,1.0,,,50000000.0,prestamos,Cuba,,Sector Público
254,2015,,1.0,,,10000000.0,prestamos,Guatemala,,Sector Privado
262,2021,,6.0,,,717766365.18,prestamos,Honduras,,Sector Público
275,2020,,4.0,,,615200000.0,prestamos,El Salvador,,Sector Público
277,2013,,1.0,,,3000000.0,prestamos,Nicaragua,,Sector Privado
281,2011,,1.0,,,119400000.0,prestamos,Guatemala,,Sector Público
284,2024,,1.0,,,130000000.0,prestamos,Nicaragua,,Sector Público
290,2012,,8.0,,,356337976.09000003,prestamos,Honduras,,Sector Público
292,2015,,2.0,,,370000000.0,prestamos,Guatemala,,Sector Público
300,2021,,1.0,,,8000000.0,prestamos,Nicaragua,,Sector Privado
305,2016,,1.0,,,2125000.0,prestamos,El Salvador,,Sector Privado
312,2018,,1.0,,,193200000.0,prestamos,Guatemala,,Sector Público
314,2013,,5.0,,,363545473.0,prestamos,Nicaragua,,Sector Público
318,2011,,5.0,,,392236000.0,prestamos,Honduras,,Sector Público
320,2024,,1.0,,,240000000.0,prestamos,Panamá,,Sector Público
326,2012,,5.0,,,253044054.79,prestamos,Nicaragua,,Sector Público
327,2022,,1.0,,,60000000.0,prestamos,El Salvador,,Sector Privado
328,2015,,2.0,,,46000000.0,prestamos,Honduras,,Sector Privado
329,2017,,1.0,,,61306842.25,prestamos,El Salvador,,Sector Privado
331,2014,,3.0,,,14250000.0,prestamos,El Salvador,,Sector Privado
336,2021,,7.0,,,804903013.99,prestamos,Nicaragua,,Sector Público
340,2016,,4.0,,,383647251.84000003,prestamos,El Salvador,,Sector Público
347,2020,,1.0,,,1500000.0,prestamos,Guatemala,,Sector Privado
349,2013,,1.0,,,10000000.0,prestamos,Panamá,,Sector Privado
353,2011,,2.0,,,72200000.0,prestamos,Nicaragua,,Sector Privado
355,2024,,1.0,,,100000000.0,prestamos,República Dominicana,,Sector Público
360,2025,,1.0,,,15000000.0,prestamos,Guatemala,,Sector Privado
361,2022,,5.0,,,836000000.0,prestamos,El Salvador,,Sector Público
362,2015,,2.0,,,212300000.0,prestamos,Honduras,,Sector Público
363,2017,,2.0,,,246000000.0,prestamos,El Salvador,,Sector Público
365,2014,,5.0,,,296887500.0,prestamos,El Salvador,,Sector Público
370,2021,,1.0,,,125000000.0,prestamos,Panamá,,Sector Privado
373,2010,,9.0,,,35760000.0,prestamos,Costa Rica,,Sector Privado
380,2018,,3.0,,,40000000.0,prestamos,Honduras,,Sector Privado
382,2013,,1.0,,,80200000.0,prestamos,República Dominicana,,Sector Público
384,2011,,5.0,,,90234985.0,prestamos,Nicaragua,,Sector Público
390,2015,,1.0,,,40000000.0,prestamos,Nicaragua,,Sector Privado
395,2021,,2.0,,,410000000.0,prestamos,República Dominicana,,Sector Público
397,2010,,3.0,,,182693958.0,prestamos,Costa Rica,,Sector Público
402,2018,,1.0,,,44262590.7,prestamos,Honduras,,Sector Público
404,2011,,1.0,,,25000000.0,prestamos,Panamá,,Sector Privado
405,2019,,1.0,,,45000000.0,prestamos,El Salvador,,Sector Privado
409,2015,,4.0,,,156016547.10000002,prestamos,Nicaragua,,Sector Público
415,2023,,3.0,,,1000000000.0,prestamos,Costa Rica,,Sector Público
416,2016,,1.0,,,300000000.0,prestamos,Guatemala,,Sector Público
420,2020,,4.0,,,111718430.0,prestamos,Honduras,,Sector Privado
422,2019,,5.0,,,531162715.48,prestamos,El Salvador,,Sector Público
424,2025,,1.0,,,165000000.0,prestamos,Honduras,,Sector Público
425,2022,,1.0,,,100000000.0,prestamos,Guatemala,,Sector Privado
426,2015,,1.0,,,20000000.0,prestamos,Panamá,,Sector Privado
427,2017,,2.0,,,37000000.0,prestamos,Guatemala,,Sector Privado
428,2014,,3.0,,,56607000.0,prestamos,Guatemala,,Sector Privado
436,2020,,6.0,,,846779622.95,prestamos,Honduras,,Sector Público
441,2022,,1.0,,,170000000.0,prestamos,Guatemala,,Sector Público
442,2015,,1.0,,,200000000.0,prestamos,Panamá,,Sector Público
443,2017,,1.0,,,100000000.0,prestamos,Guatemala,,Sector Público
444,2014,,1.0,,,250000000.0,prestamos,Guatemala,,Sector Público
452,2018,,3.0,,,365114696.0,prestamos,Nicaragua,,Sector Público
456,2025,,1.0,,,75000000.0,prestamos,Panamá,,Sector Público
463,2016,,1.0,,,40000000.0,prestamos,Honduras,,Sector Privado
467,2020,,4.0,,,698696935.0,prestamos,Nicaragua,,Sector Público
470,2025,,1.0,,,37187479.0,prestamos,Regional,,Sector Público
471,2022,,1.0,,,15000000.0,prestamos,Honduras,,Sector Privado
477,2016,,2.0,,,62182437.78,prestamos,Honduras,,Sector Público
480,2018,,3.0,,,141000000.0,prestamos,Panamá,,Sector Privado
483,2025,,1.0,,,80900000.0,prestamos,República Dominicana,,Sector Público
484,2022,,2.0,,,470000000.0,prestamos,Honduras,,Sector Público
485,2017,,1.0,,,30472000.0,prestamos,Honduras,,Sector Privado
486,2014,,4.0,,,88700000.0,prestamos,Honduras,,Sector Privado
489,2010,,9.0,,,6325000.0,prestamos,El Salvador,,Sector Privado
490,2016,,1.0,,,150000000.0,prestamos,México,,Sector Público
493,2018,,4.0,,,660000000.0,prestamos,Panamá,,Sector Público
494,2019,,1.0,,,60000000.0,prestamos,Guatemala,,Sector Privado
496,2022,,1.0,,,200000000.0,prestamos,Nicaragua,,Sector Público
497,2017,,2.0,,,236834740.0,prestamos,Honduras,,Sector Público
498,2014,,2.0,,,122044117.73,prestamos,Honduras,,Sector Público
501,2010,,4.0,,,126540000.0,prestamos,El Salvador,,Sector Público
505,2020,,2.0,,,400000000.0,prestamos,Panamá,,Sector Público
506,2019,,1.0,,,285700000.0,prestamos,Guatemala,,Sector Público
508,2022,,2.0,,,85000000.0,prestamos,Panamá,,Sector Privado
517,2018,,2.0,,,154000000.0,prestamos,República Dominicana,,Sector Privado
520,2022,,1.0,,,145000000.0,prestamos,Panamá,,Sector Público
525,2016,,6.0,,,379786817.2,prestamos,Nicaragua,,Sector Público
528,2020,,1.0,,,30000000.0,prestamos,República Dominicana,,Sector Público
531,2022,,4.0,,,580000000.0,prestamos,República Dominicana,,Sector Público
532,2017,,1.0,,,10000000.0,prestamos,Nicaragua,,Sector Privado
533,2014,,4.0,,,333883194.0,prestamos,Nicaragua,,Sector Público
536,2016,,2.0,,,156000000.0,prestamos,Panamá,,Sector Privado
541,2017,,4.0,,,468774000.0,prestamos,Nicaragua,,Sector Público
542,2014,,1.0,,,30000000.0,prestamos,Panamá,,Sector Privado
545,2016,,1.0,,,100000000.0,prestamos,Panamá,,Sector Público
550,2017,,1.0,,,20000000.0,prestamos,Panamá,,Sector Privado
551,2010,,4.0,,,71415000.0,prestamos,Guatemala,,Sector Privado
552,2016,,1.0,,,100000000.0,prestamos,República Dominicana,,Sector Público
555,2019,,1.0,,,25000000.0,prestamos,Honduras,,Sector Privado
557,2017,,2.0,,,170000000.0,prestamos,Panamá,,Sector Público
558,2010,,1.0,,,265000000.0,prestamos,Guatemala,,Sector Público
561,2019,,2.0,,,143586952.0,prestamos,Honduras,,Sector Público
562,2017,,1.0,,,249600000.0,prestamos,República Dominicana,,Sector Público
563,2023,,1.0,,,15000000.0,prestamos,Guatemala,,Sector Privado
582,2019,,2.0,,,70800000.0,prestamos,Nicaragua,,Sector Privado
583,2010,,7.0,,,118182669.0,prestamos,Honduras,,Sector Privado
586,2019,,2.0,,,585344540.0,prestamos,Nicaragua,,Sector Público
587,2010,,3.0,,,356188510.0,prestamos,Honduras,,Sector Público
590,2019,,1.0,,,50000000.0,prestamos,Panamá,,Sector Privado
591,2023,,1.0,,,20000000.0,prestamos,Honduras,,Sector Privado
593,2019,,2.0,,,134000000.0,prestamos,Panamá,,Sector Público
594,2023,,3.0,,,766988111.14,prestamos,Honduras,,Sector Público
600,2010,,3.0,,,30400000.0,prestamos,Nicaragua,,Sector Privado
601,2010,,2.0,,,117826951.0,prestamos,Nicaragua,,Sector Público
602,2010,,2.0,,,12790915.0,prestamos,Panamá,,Sector Privado
603,2010,,2.0,,,150000000.0,prestamos,República Dominicana,,Sector Público
604,2023,,3.0,,,908226411.0,prestamos,República Dominicana,,Sector Público
