_id,anio_aprobacion,cantidad,cantidad_aprobaciones,fondo,modalidad,monto_bruto_usd,origen,pais,producto,sector_institucional,socio
168,2020,3.0,,Fondos Ordinarios,No Reembolsable,2000000.0,cooperacion,Guatemala,Ayuda de Emergencia y por Desastres Naturales,,Fundador
169,2024,1.0,,Fondos Ordinarios,No Reembolsable,600000.0,cooperacion,República Dominicana,Ayuda de Emergencia y por Desastres Naturales,,Regional No Fundador
170,2021,1.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,Panamá,Ayuda de Emergencia y por Desastres Naturales,,Regional No Fundador
171,2023,3.0,,KTF,No Reembolsable,1100000.0,cooperacion,Regional,Cooperación Técnica,,Desconocido
172,2020,1.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,916072.22,cooperacion,Costa Rica,Cooperación Técnica,,Fundador
173,2024,1.0,,Fondos Ordinarios,No Reembolsable,1000000.0,cooperacion,El Salvador,Ayuda de Emergencia y por Desastres Naturales,,Fundador
174,2018,3.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,2568754.1,cooperacion,Honduras,Cooperación Técnica,,Fundador
175,2020,3.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,133987.5,cooperacion,Guatemala,Cooperación Técnica,,Fundador
176,2024,5.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,393750.0,cooperacion,República Dominicana,Cooperación Técnica,,Regional No Fundador
177,2021,5.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,1262650.0,cooperacion,Panamá,Cooperación Técnica,,Regional No Fundador
178,2024,2.0,,FCC - Fondo de Preparación de Proyectos de Inversión en Cambio Climático,No Reembolsable,1196710.0,cooperacion,Regional,Cooperación Técnica,,Desconocido
179,2020,2.0,,KTF,No Reembolsable,391666.66,cooperacion,Costa Rica,Cooperación Técnica,,Fundador
180,2024,1.0,,Fondos Ordinarios,No Reembolsable,725000.0,cooperacion,El Salvador,Cooperación de Países Fundadores y Regionales no Fundadores,,Fundador
181,2019,1.0,,Fondos Ordinarios,No Reembolsable,250000.0,cooperacion,Honduras,Ayuda de Emergencia y por Desastres Naturales,,Fundador
182,2020,3.0,,KTF,No Reembolsable,508333.33,cooperacion,Guatemala,Cooperación Técnica,,Fundador
183,2024,2.0,,Fondos Ordinarios,No Reembolsable,725000.0,cooperacion,República Dominicana,Iniciativa PRODES,,Regional No Fundador
184,2021,2.0,,FONTEC - Fondo de Cooperación Técnica,Recuperación Contingente,2420000.0,cooperacion,Panamá,Cooperación Técnica,,Regional No Fundador
185,2024,4.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,1078686.8,cooperacion,Regional,Cooperación Técnica,,Desconocido
186,2021,1.0,,Fondos Ordinarios,No Reembolsable,500000.0,cooperacion,Costa Rica,Ayuda de Emergencia y por Desastres Naturales,,Fundador
187,2014,1.0,,FONTEC - Fondo de Cooperación Técnica,No Reembolsable,82040.0,cooperacion,Institucional,Cooperación Técnica,,Desconocido
