pais,_id,anio_aprobacion,sector_institucional,monto_bruto_usd,cantidad_aprobaciones,origen
Belice,103,2023,Sector Público,2500000.0,1,prestamos
Costa Rica,104,1993,Sector Público,21750000.0,4,prestamos
El Salvador,105,1967,Sector Privado,986000.0,4,prestamos
El Salvador,106,1994,Sector Privado,24313000.0,17,prestamos
Costa Rica,107,1998,Sector Privado,84786168.0,24,prestamos
Costa Rica,108,1983,Sector Privado,1800000.0,1,prestamos
Costa Rica,109,1979,Sector Público,33110000.0,9,prestamos
El Salvador,110,1968,Sector Privado,1525700.0,5,prestamos
El Salvador,111,1999,Sector Privado,61619477.0,6,prestamos
Costa Rica,112,2018,Sector Público,530284067.0,3,prestamos
Costa Rica,113,1984,Sector Público,1650000.0,1,prestamos
El Salvador,114,2013,Sector Público,199208600.0,4,prestamos
El Salvador,115,1992,Sector Privado,14000000.0,3,prestamos
Guatemala,116,1989,Sector Privado,99000.0,1,prestamos
El Salvador,117,1995,Sector Privado,71513548.0,13,prestamos
El Salvador,118,2000,Sector Privado,7830000.0,1,prestamos
Costa Rica,119,2011,Sector Público,499000000.0,3,prestamos
El Salvador,120,1991,Sector Público,1000000.0,1,prestamos
Honduras,121,1988,Sector Público,37600000.0,10,prestamos
El Salvador,122,1973,Sector Privado,9430000.0,8,prestamos
El Salvador,123,2024,Sector Público,263900000.0,2,prestamos
Guatemala,124,1990,Sector Privado,15220600.0,2,prestamos
El Salvador,125,1977,Sector Público,14100000.0,2,prestamos
Costa Rica,126,1966,Sector Público,4700000.0,1,prestamos
El Salvador,127,1982,Sector Privado,2000000.0,3,prestamos
Costa Rica,128,2001,Sector Privado,31000000.0,4,prestamos
Costa Rica,129,1996,Sector Privado,35521099.0,21,prestamos
El Salvador,130,2012,Sector Público,193161825.0,3,prestamos
Costa Rica,131,1987,Sector Privado,1000000.0,1,prestamos
Costa Rica,132,2015,Sector Público,202587964.87,2,prestamos
Costa Rica,133,1964,Sector Público,1163000.0,2,prestamos
El Salvador,134,2003,Sector Público,143500000.0,3,prestamos
Costa Rica,135,2002,Sector Público,280000000.0,6,prestamos
Costa Rica,136,2009,Sector Privado,32900000.0,5,prestamos
El Salvador,137,2008,Sector Privado,15261000.0,3,prestamos
El Salvador,138,1965,Sector Público,1066000.0,2,prestamos
El Salvador,139,1981,Sector Público,9200000.0,4,prestamos
Honduras,140,1986,Sector Público,16675000.0,6,prestamos
Honduras,141,1985,Sector Público,9150000.0,2,prestamos
El Salvador,142,2021,Sector Público,864700000.0,3,prestamos
Guatemala,143,1963,Sector Privado,3327500.0,11,prestamos
El Salvador,144,1969,Sector Público,7250000.0,3,prestamos
Costa Rica,145,1980,Sector Público,20970000.0,7,prestamos
Colombia,146,2010,Sector Privado,35321000.0,1,prestamos
Costa Rica,147,2016,Sector Privado,50000000.0,1,prestamos
Guatemala,148,1967,Sector Privado,292000.0,2,prestamos
El Salvador,149,1994,Sector Público,144238000.0,9,prestamos
Costa Rica,150,1998,Sector Público,56698182.0,3,prestamos
Costa Rica,151,1983,Sector Público,15402200.0,3,prestamos
Costa Rica,152,1997,Sector Privado,26300000.0,13,prestamos
El Salvador,153,1968,Sector Público,7900000.0,2,prestamos
Guatemala,154,1999,Sector Privado,56093000.0,10,prestamos
Costa Rica,155,2020,Sector Privado,6000000.0,1,prestamos
El Salvador,156,1974,Sector Privado,8070000.0,6,prestamos
Guatemala,157,2013,Sector Privado,18750000.0,1,prestamos
El Salvador,158,1992,Sector Público,36800000.0,4,prestamos
Guatemala,159,1989,Sector Público,7000000.0,3,prestamos
El Salvador,160,1995,Sector Público,21150000.0,2,prestamos
El Salvador,161,2000,Sector Público,80000000.0,2,prestamos
El Salvador,162,2011,Sector Privado,53625000.0,5,prestamos
Guatemala,163,1991,Sector Privado,6500000.0,1,prestamos
El Salvador,164,1973,Sector Público,6560000.0,3,prestamos
Guatemala,165,1961,Sector Privado,275000.0,1,prestamos
Guatemala,166,1990,Sector Público,28600000.0,4,prestamos
Guatemala,167,1977,Sector Privado,3000000.0,1,prestamos
Costa Rica,168,2004,Sector Privado,34790000.0,9,prestamos
El Salvador,169,1982,Sector Público,17800000.0,2,prestamos
Costa Rica,170,2001,Sector Público,130853800.0,3,prestamos
Costa Rica,171,1996,Sector Público,67254960.0,8,prestamos
Guatemala,172,2012,Sector Privado,86288817.45,5,prestamos
Costa Rica,173,1987,Sector Público,17200000.0,6,prestamos
El Salvador,174,2015,Sector Privado,90000000.0,5,prestamos
Costa Rica,175,2017,Sector Privado,1350000.0,1,prestamos
Guatemala,176,2003,Sector Privado,47050000.0,10,prestamos
Costa Rica,177,2014,Sector Privado,21000000.0,4,prestamos
Costa Rica,178,2009,Sector Público,343538203.07,6,prestamos
El Salvador,179,2008,Sector Público,284605000.0,5,prestamos
Guatemala,180,1965,Sector Privado,1751090.0,7,prestamos
Guatemala,181,1981,Sector Privado,6300000.0,4,prestamos
Guatemala,182,2021,Sector Privado,7000000.0,1,prestamos
Guatemala,183,1963,Sector Público,107000.0,1,prestamos
Guatemala,184,1969,Sector Privado,1915000.0,4,prestamos
El Salvador,185,1978,Sector Privado,11020000.0,12,prestamos
Colombia,186,2023,Sector Público,250000000.0,1,prestamos
Costa Rica,187,2016,Sector Público,291842413.0,3,prestamos
Guatemala,188,1967,Sector Público,6433000.0,2,prestamos
Guatemala,189,1994,Sector Privado,37259235.0,23,prestamos
Costa Rica,190,2006,Sector Privado,135600000.0,19,prestamos
El Salvador,191,1971,Sector Privado,2257157.14,7,prestamos
Costa Rica,192,1997,Sector Público,92407500.0,3,prestamos
Guatemala,193,1968,Sector Privado,1657000.0,5,prestamos
Guatemala,194,1999,Sector Público,87274200.0,5,prestamos
Costa Rica,195,2020,Sector Público,699160000.0,2,prestamos
El Salvador,196,1974,Sector Público,4750000.0,5,prestamos
Honduras,197,2013,Sector Privado,56802700.0,2,prestamos
Guatemala,198,1992,Sector Privado,11660000.0,7,prestamos
Honduras,199,1989,Sector Público,48000000.0,4,prestamos
Guatemala,200,1995,Sector Privado,98925000.0,36,prestamos
Guatemala,201,2000,Sector Privado,23500000.0,4,prestamos
El Salvador,202,2011,Sector Público,232212173.8,4,prestamos
Guatemala,203,1991,Sector Público,5200000.0,2,prestamos
Guatemala,204,1973,Sector Privado,7391620.0,7,prestamos
Guatemala,205,2024,Sector Privado,19000000.0,2,prestamos
