pais,_id,anio_aprobacion,sector_institucional,monto_bruto_usd,cantidad_aprobaciones,origen
Nicaragua,453,1974,Sector Público,22287000.0,12,prestamos
Guatemala,454,1966,Sector Público,4352000.0,2,prestamos
Honduras,455,2001,Sector Privado,8795064.0,5,prestamos
Honduras,456,1996,Sector Público,15910000.0,1,prestamos
Honduras,457,1987,Sector Público,30478300.0,8,prestamos
Honduras,458,1964,Sector Privado,653000.0,3,prestamos
Honduras,459,2002,Sector Privado,15800000.0,3,prestamos
Honduras,460,1975,Sector Público,26194000.0,10,prestamos
Honduras,461,1980,Sector Privado,5642500.0,6,prestamos
El Salvador,462,1972,Sector Privado,301360.0,2,prestamos
Honduras,463,2016,Sector Privado,40000000.0,1,prestamos
Guatemala,464,1976,Sector Privado,6050000.0,4,prestamos
Nicaragua,465,1983,Sector Público,13280000.0,3,prestamos
Guatemala,466,1979,Sector Público,8100000.0,1,prestamos
Nicaragua,467,2020,Sector Público,698696935.0,4,prestamos
Guatemala,468,2004,Sector Privado,31125000.0,7,prestamos
Honduras,469,2001,Sector Público,37425000.0,5,prestamos
Honduras,470,2025,Sector Público,465000000.0,2,prestamos
Honduras,471,2022,Sector Privado,15000000.0,1,prestamos
Honduras,472,1964,Sector Público,654000.0,2,prestamos
Honduras,473,2002,Sector Público,25912285.0,3,prestamos
Honduras,474,2009,Sector Privado,5500000.0,2,prestamos
Honduras,475,1980,Sector Público,39000000.0,7,prestamos
El Salvador,476,1972,Sector Público,6730000.0,4,prestamos
Honduras,477,2016,Sector Público,62182437.78,2,prestamos
Guatemala,478,1976,Sector Público,27120000.0,5,prestamos
Guatemala,479,1997,Sector Privado,41337000.0,13,prestamos
Panamá,480,2018,Sector Privado,141000000.0,3,prestamos
Guatemala,481,2004,Sector Público,57635000.0,2,prestamos
Honduras,482,2007,Sector Privado,86852100.0,22,prestamos
Nicaragua,483,1996,Sector Privado,11737565.0,11,prestamos
Honduras,484,2022,Sector Público,470000000.0,2,prestamos
Honduras,485,2017,Sector Privado,30472000.0,1,prestamos
Honduras,486,2014,Sector Privado,88700000.0,4,prestamos
Honduras,487,2009,Sector Público,90000000.0,1,prestamos
Nicaragua,488,1978,Sector Privado,1400000.0,3,prestamos
El Salvador,489,2010,Sector Privado,6325000.0,9,prestamos
México,490,2016,Sector Público,150000000.0,1,prestamos
Guatemala,491,1998,Sector Privado,63237300.0,13,prestamos
Guatemala,492,1997,Sector Público,177159773.0,6,prestamos
Panamá,493,2018,Sector Público,660000000.0,4,prestamos
Guatemala,494,2019,Sector Privado,60000000.0,1,prestamos
Honduras,495,2007,Sector Público,75500000.0,2,prestamos
Nicaragua,496,2025,Sector Público,235000000.0,1,prestamos
Nicaragua,497,2022,Sector Público,200000000.0,1,prestamos
Honduras,498,2017,Sector Público,236834740.0,2,prestamos
Honduras,499,2014,Sector Público,122044117.73,2,prestamos
Nicaragua,500,1975,Sector Privado,21890000.0,10,prestamos
Nicaragua,501,1978,Sector Público,28471000.0,7,prestamos
El Salvador,502,2010,Sector Público,126540000.0,4,prestamos
Nicaragua,503,1993,Sector Privado,1500000.0,2,prestamos
Guatemala,504,1998,Sector Público,314750000.0,9,prestamos
Guatemala,505,2005,Sector Privado,105095000.0,11,prestamos
Panamá,506,2020,Sector Público,400000000.0,2,prestamos
Guatemala,507,2019,Sector Público,285700000.0,1,prestamos
Nicaragua,508,2001,Sector Privado,19350000.0,8,prestamos
Panamá,509,2025,Sector Privado,20000000.0,1,prestamos
Panamá,510,2022,Sector Privado,85000000.0,2,prestamos
Nicaragua,511,1964,Sector Privado,1317700.0,6,prestamos
Nicaragua,512,2002,Sector Privado,50043635.74,18,prestamos
Nicaragua,513,1975,Sector Público,17184000.0,8,prestamos
Nicaragua,514,1980,Sector Público,65285000.0,16,prestamos
Guatemala,515,1970,Sector Privado,2507184.0,7,prestamos
Nicaragua,516,1993,Sector Público,66265800.0,8,prestamos
Guatemala,517,2006,Sector Privado,377049000.0,28,prestamos
Guatemala,518,2005,Sector Público,558270000.0,3,prestamos
República Dominicana,519,2018,Sector Privado,154000000.0,2,prestamos
Honduras,520,1966,Sector Privado,2200000.0,7,prestamos
Nicaragua,521,2007,Sector Privado,199125700.0,18,prestamos
Panamá,522,2025,Sector Público,75000000.0,1,prestamos
Panamá,523,2022,Sector Público,145000000.0,1,prestamos
Nicaragua,524,1964,Sector Público,10052458.0,3,prestamos
Nicaragua,525,2002,Sector Público,29138311.95,4,prestamos
Nicaragua,526,2009,Sector Privado,21300000.0,9,prestamos
Guatemala,527,1970,Sector Público,150000.0,1,prestamos
Nicaragua,528,2016,Sector Público,379786817.2,6,prestamos
Honduras,529,1962,Sector Privado,445000.0,3,prestamos
Honduras,530,1979,Sector Privado,10475600.0,6,prestamos
República Dominicana,531,2020,Sector Público,30000000.0,1,prestamos
Honduras,532,1966,Sector Público,11794500.0,6,prestamos
Nicaragua,533,2007,Sector Público,84769347.0,5,prestamos
Regional,534,2025,Sector Público,37187479.0,1,prestamos
República Dominicana,535,2022,Sector Público,580000000.0,4,prestamos
Nicaragua,536,2017,Sector Privado,10000000.0,1,prestamos
Nicaragua,537,2014,Sector Público,333883194.0,4,prestamos
Nicaragua,538,2009,Sector Público,299987137.88,4,prestamos
Guatemala,539,1972,Sector Privado,5580370.0,8,prestamos
Panamá,540,2016,Sector Privado,156000000.0,2,prestamos
Honduras,541,1962,Sector Público,120000.0,1,prestamos
Honduras,542,1979,Sector Público,39655000.0,8,prestamos
Honduras,543,2004,Sector Privado,79846537.0,11,prestamos
Panamá,544,2007,Sector Privado,97033333.33,2,prestamos
República Dominicana,545,2025,Sector Público,80900000.0,1,prestamos
Nicaragua,546,2017,Sector Público,468774000.0,4,prestamos
Panamá,547,2014,Sector Privado,30000000.0,1,prestamos
Panamá,548,2009,Sector Privado,20000000.0,1,prestamos
Guatemala,549,1972,Sector Público,9500000.0,2,prestamos
Panamá,550,2016,Sector Público,100000000.0,1,prestamos
Honduras,551,1976,Sector Privado,3215000.0,7,prestamos
Honduras,552,1997,Sector Privado,37947000.0,12,prestamos
Honduras,553,2004,Sector Público,117830000.0,4,prestamos
Panamá,554,2007,Sector Público,19000000.0,1,prestamos
Panamá,555,2017,Sector Privado,20000000.0,1,prestamos
Guatemala,556,2010,Sector Privado,71415000.0,4,prestamos
República Dominicana,557,2016,Sector Público,100000000.0,1,prestamos
Honduras,558,1976,Sector Público,21441200.0,6,prestamos
Honduras,559,1997,Sector Público,4900000.0,1,prestamos
Honduras,560,2019,Sector Privado,25000000.0,1,prestamos
República Dominicana,561,2007,Sector Público,50000000.0,1,prestamos
Panamá,562,2017,Sector Público,170000000.0,2,prestamos
Guatemala,563,2010,Sector Público,265000000.0,1,prestamos
Honduras,564,1998,Sector Privado,147449550.0,23,prestamos
Honduras,565,2005,Sector Privado,79705800.0,12,prestamos
Honduras,566,2019,Sector Público,143586952.0,2,prestamos
República Dominicana,567,2017,Sector Público,249600000.0,1,prestamos
Guatemala,568,2023,Sector Privado,15000000.0,1,prestamos
Honduras,569,1998,Sector Público,45500000.0,2,prestamos
Honduras,570,2005,Sector Público,125272463.49000001,9,prestamos
Nicaragua,571,1966,Sector Privado,6725000.0,5,prestamos
Honduras,572,1970,Sector Privado,11407500.0,19,prestamos
Honduras,573,2006,Sector Privado,113327000.0,14,prestamos
Nicaragua,574,1979,Sector Privado,11050000.0,6,prestamos
Nicaragua,575,1966,Sector Público,2722240.0,3,prestamos
Honduras,576,1970,Sector Público,8114500.0,5,prestamos
Honduras,577,2006,Sector Público,125300000.05000001,2,prestamos
Nicaragua,578,1979,Sector Público,2750000.0,2,prestamos
Nicaragua,579,2004,Sector Privado,24482000.0,17,prestamos
Honduras,580,1972,Sector Privado,3962000.0,13,prestamos
Nicaragua,581,1962,Sector Privado,937200.0,1,prestamos
Nicaragua,582,1997,Sector Privado,7500000.0,3,prestamos
Nicaragua,583,2004,Sector Público,11025000.0,3,prestamos
Honduras,584,1972,Sector Público,2680300.0,8,prestamos
Nicaragua,585,1976,Sector Privado,980000.0,1,prestamos
Nicaragua,586,2005,Sector Privado,60775872.66,16,prestamos
Nicaragua,587,2019,Sector Privado,70800000.0,2,prestamos
Honduras,588,2010,Sector Privado,118182669.0,7,prestamos
Nicaragua,589,1976,Sector Público,21360000.0,5,prestamos
Nicaragua,590,2005,Sector Público,49632000.0,6,prestamos
Nicaragua,591,2019,Sector Público,585344540.0,2,prestamos
Honduras,592,2010,Sector Público,356188510.0,3,prestamos
Nicaragua,593,1998,Sector Privado,32711300.0,7,prestamos
Panamá,594,2005,Sector Público,20000000.0,1,prestamos
Panamá,595,2019,Sector Privado,50000000.0,1,prestamos
Honduras,596,2023,Sector Privado,20000000.0,1,prestamos
Nicaragua,597,2006,Sector Privado,103330434.0,22,prestamos
Panamá,598,2019,Sector Público,134000000.0,2,prestamos
Honduras,599,2023,Sector Público,766988111.14,3,prestamos
Nicaragua,600,2006,Sector Público,196218000.0,3,prestamos
Nicaragua,601,1970,Sector Privado,842236.0,6,prestamos
Nicaragua,602,1970,Sector Público,9534000.0,6,prestamos
Nicaragua,603,1972,Sector Privado,3174914.0,8,prestamos
Nicaragua,604,1972,Sector Público,7834300.0,5,prestamos
Nicaragua,605,2010,Sector Privado,30400000.0,3,prestamos
Nicaragua,606,2010,Sector Público,117826951.0,2,prestamos
Panamá,607,2010,Sector Privado,12790915.0,2,prestamos
República Dominicana,608,2010,Sector Público,150000000.0,2,prestamos
República Dominicana,609,2023,Sector Público,908226411.0,3,prestamos
