,Año,Socio,Monto Total USD Aprobados,Cantidad Total Aprobados,cluster,cluster_desc,cluster_hdbscan,is_noise,cluster_name
65,2014,Extraregionales,50000000.0,1,3,Monto muy bajo / cant. muy baja,2,False,Cluster 2
66,2014,Fundadores,1491371811.73,30,1,Monto alto / cant. media,5,False,Cluster 5
67,2014,Regional No Fundadores,60000000.0,2,3,Monto muy bajo / cant. muy baja,2,False,Cluster 2
68,2015,Extraregionales,186000000.0,2,3,Monto muy bajo / cant. muy baja,3,False,Cluster 3
69,2015,Fundadores,1450426325.97,28,1,Monto alto / cant. media,5,False,Cluster 5
70,2015,Regional No Fundadores,220000000.0,2,3,Monto muy bajo / cant. muy baja,3,False,Cluster 3
71,2016,Extraregionales,240000000.0,3,3,Monto muy bajo / cant. muy baja,3,False,Cluster 3
72,2016,Fundadores,1509583919.8200002,19,1,Monto alto / cant. media,5,False,Cluster 5
73,2016,Regional No Fundadores,356000000.0,4,3,Monto muy bajo / cant. muy baja,3,False,Cluster 3
74,2017,Extraregionales,80000000.0,2,3,Monto muy bajo / cant. muy baja,2,False,Cluster 2
75,2017,Fundadores,1406147582.25,18,1,Monto alto / cant. media,5,False,Cluster 5
76,2017,Regional No Fundadores,439600000.0,4,3,Monto muy bajo / cant. muy baja,3,False,Cluster 3
77,2018,Extraregionales,32000000.0,1,3,Monto muy bajo / cant. muy baja,2,False,Cluster 2
78,2018,Fundadores,1456361353.7,14,1,Monto alto / cant. media,5,False,Cluster 5
79,2018,Regional No Fundadores,955000000.0,9,1,Monto alto / cant. media,5,False,Cluster 5
80,2019,Extraregionales,67000000.0,1,3,Monto muy bajo / cant. muy baja,2,False,Cluster 2
81,2019,Fundadores,2386649207.48,17,4,Monto muy alto / cant. media,5,False,Cluster 5
82,2019,Regional No Fundadores,184000000.0,3,3,Monto muy bajo / cant. muy baja,3,False,Cluster 3
83,2020,Extraregionales,50000000.0,1,3,Monto muy bajo / cant. muy baja,2,False,Cluster 2
84,2020,Fundadores,2979054987.95,22,4,Monto muy alto / cant. media,5,False,Cluster 5
85,2020,Regional No Fundadores,430000000.0,3,3,Monto muy bajo / cant. muy baja,3,False,Cluster 3
86,2021,Extraregionales,150000000.0,3,3,Monto muy bajo / cant. muy baja,3,False,Cluster 3
87,2021,Fundadores,3004869379.17,22,4,Monto muy alto / cant. media,5,False,Cluster 5
88,2021,Regional No Fundadores,535000000.0,3,3,Monto muy bajo / cant. muy baja,3,False,Cluster 3
89,2022,Extraregionales,415000000.0,6,3,Monto muy bajo / cant. muy baja,3,False,Cluster 3
90,2022,Fundadores,3041000000.0,15,4,Monto muy alto / cant. media,5,False,Cluster 5
91,2022,Regional No Fundadores,834000000.0,8,1,Monto alto / cant. media,5,False,Cluster 5
92,2023,Extraregionales,875000000.0,4,1,Monto alto / cant. media,3,False,Cluster 3
93,2023,Fundadores,1801988111.1399999,8,1,Monto alto / cant. media,5,False,Cluster 5
94,2023,Regional No Fundadores,910726411.0,4,1,Monto alto / cant. media,3,False,Cluster 3
95,2024,Extraregionales,230000000.0,1,3,Monto muy bajo / cant. muy baja,3,False,Cluster 3
96,2024,Fundadores,1659200000.0,9,1,Monto alto / cant. media,5,False,Cluster 5
97,2024,Regional No Fundadores,340000000.0,2,3,Monto muy bajo / cant. muy baja,3,False,Cluster 3
98,2025,Extraregionales,175000000.0,2,3,Monto muy bajo / cant. muy baja,3,False,Cluster 3
99,2025,Fundadores,1940000000.0,10,1,Monto alto / cant. media,5,False,Cluster 5
100,2025,Regional No Fundadores,175900000.0,3,3,Monto muy bajo / cant. muy baja,3,False,Cluster 3
101,2025,Regionales,37187479.0,1,3,Monto muy bajo / cant. muy baja,2,False,Cluster 2
