cluster_hdbscan,n,x_med,y_med,x_mean,y_mean,porc,cluster_name
0,10,49.0,41293167.0,50.6,36443122.971,0.09803921568627451,Cluster 0
1,19,40.0,140512650.0,43.578947368421055,166809456.31578946,0.18627450980392157,Cluster 1
2,16,1.0,43593739.5,1.5625,46524017.4375,0.1568627450980392,Cluster 2
3,19,3.0,230000000.0,3.210526315789474,336245582.5963158,0.18627450980392157,Cluster 3
4,14,90.0,715085047.965,91.85714285714286,968544135.1964285,0.13725490196078433,Cluster 4
5,19,19.0,1509583919.8200002,21.105263157894736,1730117483.3310528,0.18627450980392157,Cluster 5
