cluster_hdbscan,Extraregionales,Fundadores,Regional No Fundadores,Regionales
-1,20.0,80.0,0.0,0.0
0,0.0,100.0,0.0,0.0
1,0.0,100.0,0.0,0.0
2,50.0,6.25,37.5,6.25
3,42.10526315789473,0.0,57.89473684210527,0.0
4,0.0,100.0,0.0,0.0
5,0.0,89.47368421052632,10.526315789473683,0.0
