objectid	cod_depto	depto	cod_municipio	municipio	shape_Length	shape_Area	ISO	Pais	VARNAME_1	ENGTYPE_2	TYPE_2	NAME_1	DEPARTAMENTO	MUNICIPIOS	DEPTO_MUN	Columna1	Columna2	Índice	REGION
63	7	EL PARAISO	711	San Antonio de Flores	0.575378653	0.01222325	HND	Honduras	Paraiso	Municipality	Municipio	EL PARAISO	EL PARAISO	SAN ANTONIO DE FLORES	EL PARAISO,SAN ANTONIO DE FLORES			62	Centro Oriental
64	7	EL PARAISO	712	San Lucas	0.58227292	0.010605417	HND	Honduras	Paraiso	Municipality	Municipio	EL PARAISO	EL PARAISO	SAN LUCAS	EL PARAISO,SAN LUCAS			63	Centro Oriental
65	7	EL PARAISO	713	San Matías	0.532017103	0.009702545	HND	Honduras	Paraiso	Municipality	Municipio	EL PARAISO	EL PARAISO	SAN MATIAS	EL PARAISO,SAN MATIAS			64	Centro Oriental
66	7	EL PARAISO	714	Soledad	0.508798154	0.013163856	HND	Honduras	Paraiso	Municipality	Municipio	EL PARAISO	EL PARAISO	SOLEDAD	EL PARAISO,SOLEDAD			65	Centro Oriental
67	7	EL PARAISO	715	Teupasenti	1.253727241	0.056016537	HND	Honduras	Paraiso	Municipality	Municipio	EL PARAISO	EL PARAISO	TEUPASENTI	EL PARAISO,TEUPASENTI			66	Centro Oriental
68	7	EL PARAISO	716	Texíguat	0.667856847	0.015581177	HND	Honduras	Paraiso	Municipality	Municipio	EL PARAISO	EL PARAISO	TEXIGUAT	EL PARAISO,TEXIGUAT			67	Centro Oriental
69	7	EL PARAISO	717	Vado Ancho	0.444768172	0.005667829	HND	Honduras	Paraiso	Municipality	Municipio	EL PARAISO	EL PARAISO	VADO ANCHO	EL PARAISO,VADO ANCHO			68	Centro Oriental
70	8	FRANCISCO MORAZAN	802	Alubarén	0.295743313	0.00386925	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	ALUBAREN	FRANCISCO MORAZAN,ALUBAREN			69	Centro Oriental
71	8	FRANCISCO MORAZAN	803	Cedros	1.559380344	0.065486322	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	CEDROS	FRANCISCO MORAZAN,CEDROS			70	Centro Oriental
72	8	FRANCISCO MORAZAN	804	Curarén	0.757418901	0.025737347	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	CURAREN	FRANCISCO MORAZAN,CURAREN			71	Centro Oriental
73	8	FRANCISCO MORAZAN	805	El Porvenir	1.21559644	0.034914161	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	EL PORVENIR	FRANCISCO MORAZAN,EL PORVENIR			72	Centro Oriental
74	8	FRANCISCO MORAZAN	806	Guaimaca	1.276235472	0.065471219	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	GUAIMACA	FRANCISCO MORAZAN,GUAIMACA			73	Centro Oriental
75	8	FRANCISCO MORAZAN	807	La Libertad	0.281434179	0.003250265	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	LA LIBERTAD	FRANCISCO MORAZAN,LA LIBERTAD			74	Centro Oriental
76	8	FRANCISCO MORAZAN	808	La Venta	0.482399677	0.010565606	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	LA VENTA	FRANCISCO MORAZAN,LA VENTA			75	Centro Oriental
77	8	FRANCISCO MORAZAN	810	Maraita	0.70621927	0.02203177	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	MARAITA	FRANCISCO MORAZAN,MARAITA			76	Centro Oriental
78	8	FRANCISCO MORAZAN	811	Marale	0.841761757	0.03382306	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	MARALE	FRANCISCO MORAZAN,MARALE			77	Centro Oriental
79	8	FRANCISCO MORAZAN	812	Nueva Armenia	0.667705681	0.015222026	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	NUEVA ARMENIA	FRANCISCO MORAZAN,NUEVA ARMENIA			78	Centro Oriental
80	8	FRANCISCO MORAZAN	813	Ojojona	0.771941626	0.020160867	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	OJOJONA	FRANCISCO MORAZAN,OJOJONA			79	Centro Oriental
81	8	FRANCISCO MORAZAN	814	Orica	1.093973076	0.033520266	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	ORICA	FRANCISCO MORAZAN,ORICA			80	Centro Oriental
82	8	FRANCISCO MORAZAN	815	Reitoca	0.576295907	0.016267263	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	REITOCA	FRANCISCO MORAZAN,REITOCA			81	Centro Oriental
83	8	FRANCISCO MORAZAN	816	Sabanagrande	0.808763515	0.020282975	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	SABANAGRANDE	FRANCISCO MORAZAN,SABANAGRANDE			82	Centro Oriental
84	8	FRANCISCO MORAZAN	817	San Antonio de Oriente	0.669432403	0.017688968	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	SAN ANTONIO DE ORIENTE	FRANCISCO MORAZAN,SAN ANTONIO DE ORIENTE			83	Centro Oriental
85	7	EL PARAISO	718	Yauyupe	0.358264039	0.005419486	HND	Honduras	Paraiso	Municipality	Municipio	EL PARAISO	EL PARAISO	YAUYUPE	EL PARAISO,YAUYUPE			84	Centro Oriental
86	7	EL PARAISO	719	Trojes	2.441258986	0.115786642	HND	Honduras	Paraiso	Municipality	Municipio	EL PARAISO	EL PARAISO	TROJES	EL PARAISO,TROJES			85	Centro Oriental
100	13	LEMPIRA	1303	Candelaria	0.29640735	0.004452187	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	CANDELARIA	LEMPIRA,CANDELARIA			99	Occidental
101	13	LEMPIRA	1304	Cololaca	0.831659851	0.018874745	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	COLOLACA	LEMPIRA,COLOLACA			100	Occidental
102	13	LEMPIRA	1307	Guarita	1.085679228	0.01509857	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	GUARITA	LEMPIRA,GUARITA			101	Occidental
103	13	LEMPIRA	1311	La Unión	0.375240552	0.007164137	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	LA UNION	LEMPIRA,LA UNION			102	Occidental
104	13	LEMPIRA	1312	La Virtud	0.449771638	0.007445115	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	LA VIRTUD	LEMPIRA,LA VIRTUD			103	Occidental
105	13	LEMPIRA	1314	Mapulaca	0.267521836	0.002718819	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	MAPULACA	LEMPIRA,MAPULACA			104	Occidental
106	13	LEMPIRA	1315	Piraera	0.638027917	0.014930682	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	PIRAERA	LEMPIRA,PIRAERA			105	Occidental
107	13	LEMPIRA	1318	San Juan Guarita	0.388723712	0.003596432	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	SAN JUAN GUARITA	LEMPIRA,SAN JUAN GUARITA			106	Occidental
108	13	LEMPIRA	1319	San Manuel Colohete	0.717579736	0.01533479	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	SAN MANUEL COLOHETE	LEMPIRA,SAN MANUEL COLOHETE			107	Occidental
109	13	LEMPIRA	1327	Virginia	0.270994181	0.003102331	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	VIRGINIA	LEMPIRA,VIRGINIA			108	Occidental
112	11	ISLAS DE LA BAHIA	1102	Guanaja	0.570204675	0.004830931	HND	Honduras	Islas de Bahia	Municipality	Municipio	ISLAS DE LA BAHIA	ISLAS DE LA BAHIA	GUANAJA	ISLAS DE LA BAHIA,GUANAJA			111	Nororiental
127	8	FRANCISCO MORAZAN	818	San Buenaventura	0.325964898	0.005211248	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	SAN BUENAVENTURA	FRANCISCO MORAZAN,SAN BUENAVENTURA			126	Centro Oriental
128	8	FRANCISCO MORAZAN	819	San Ignacio	0.814462443	0.027807999	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	SAN IGNACIO	FRANCISCO MORAZAN,SAN IGNACIO			127	Centro Oriental
129	8	FRANCISCO MORAZAN	820	San Juan de Flores	0.816065341	0.031872154	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	SAN JUAN DE FLORES	FRANCISCO MORAZAN,SAN JUAN DE FLORES			128	Centro Oriental
130	11	ISLAS DE LA BAHIA	1104	Utila	0.461977811	0.003539159	HND	Honduras	Islas de Bahia	Municipality	Municipio	ISLAS DE LA BAHIA	ISLAS DE LA BAHIA	UTILA	ISLAS DE LA BAHIA,UTILA			129	Nororiental
131	8	FRANCISCO MORAZAN	821	San Miguelito	0.269366187	0.003548507	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	SAN MIGUELITO	FRANCISCO MORAZAN,SAN MIGUELITO			130	Centro Oriental
132	11	ISLAS DE LA BAHIA	1101	Roatán	0.813100303	0.00562044	HND	Honduras	Islas de Bahia	Municipality	Municipio	ISLAS DE LA BAHIA	ISLAS DE LA BAHIA	ROATAN	ISLAS DE LA BAHIA,ROATAN			131	Nororiental
133	8	FRANCISCO MORAZAN	822	Santa Ana	0.579272942	0.007993773	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	SANTA ANA	FRANCISCO MORAZAN,SANTA ANA			132	Centro Oriental
134	8	FRANCISCO MORAZAN	823	Santa Lucía	0.293924867	0.004847288	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	SANTA LUCIA	FRANCISCO MORAZAN,SANTA LUCIA			133	Centro Oriental
135	8	FRANCISCO MORAZAN	824	Talanga	1.050051813	0.036019983	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	TALANGA	FRANCISCO MORAZAN,TALANGA			134	Centro Oriental
136	8	FRANCISCO MORAZAN	825	Tatumbla	0.355038901	0.006596176	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	TATUMBLA	FRANCISCO MORAZAN,TATUMBLA			135	Centro Oriental
137	8	FRANCISCO MORAZAN	826	Valle de Angeles	0.523495297	0.008877267	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	VALLE DE ANGELES	FRANCISCO MORAZAN,VALLE DE ANGELES			136	Centro Oriental
138	8	FRANCISCO MORAZAN	827	Villa de San Francisco	0.424983863	0.006566283	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	VILLA DE SAN FRANCISCO	FRANCISCO MORAZAN,VILLA DE SAN FRANCISCO			137	Centro Oriental
140	11	ISLAS DE LA BAHIA	1103	José Santos Guardiola	1.093391708	0.005469714	HND	Honduras	Islas de Bahia	Municipality	Municipio	ISLAS DE LA BAHIA	ISLAS DE LA BAHIA	JOSE SANTOS GUARDIOLA	ISLAS DE LA BAHIA,JOSE SANTOS GUARDIOLA			139	Nororiental
193	5	CORTES	503	Omoa	1.468059844	0.033176565	HND	Honduras	Cortez	Municipality	Municipio	CORTES	CORTES	OMOA	CORTES,OMOA			192	Noroccidental
212	5	CORTES	509	San Manuel	0.635754368	0.011907977	HND	Honduras	Cortez	Municipality	Municipio	CORTES	CORTES	SAN MANUEL	CORTES,SAN MANUEL			211	Noroccidental
213	5	CORTES	511	Villanueva	0.904878461	0.029410631	HND	Honduras	Cortez	Municipality	Municipio	CORTES	CORTES	VILLANUEVA	CORTES,VILLANUEVA			212	Noroccidental
240	8	FRANCISCO MORAZAN	801	Distrito Central	2.14026557	0.125822032	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	DISTRITO CENTRAL	FRANCISCO MORAZAN,DISTRITO CENTRAL			239	Centro Oriental
241	8	FRANCISCO MORAZAN	809	Lepaterique	0.981617379	0.04744287	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	LEPATERIQUE	FRANCISCO MORAZAN,LEPATERIQUE			240	Centro Oriental
242	8	FRANCISCO MORAZAN	828	Vallecillo	0.674256973	0.018462486	HND	Honduras	Tegucigalpa	Municipality	Municipio	FRANCISCO MORAZAN	FRANCISCO MORAZAN	VALLECILLO	FRANCISCO MORAZAN,VALLECILLO			241	Centro Oriental
263	13	LEMPIRA	1301	Gracias	1.295856185	0.037669841	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	GRACIAS	LEMPIRA,GRACIAS			262	Occidental
264	13	LEMPIRA	1302	Belén	0.706556034	0.016669348	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	BELEN	LEMPIRA,BELEN			263	Occidental
265	13	LEMPIRA	1305	Erandique	0.880079553	0.024849236	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	ERANDIQUE	LEMPIRA,ERANDIQUE			264	Occidental
266	13	LEMPIRA	1306	Gualcince	0.621140486	0.013627145	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	GUALCINCE	LEMPIRA,GUALCINCE			265	Occidental
267	13	LEMPIRA	1308	La Campa	0.495202766	0.009080345	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	LA CAMPA	LEMPIRA,LA CAMPA			266	Occidental
268	13	LEMPIRA	1309	La Iguala	1.065882264	0.029284517	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	LA IGUALA	LEMPIRA,LA IGUALA			267	Occidental
269	13	LEMPIRA	1310	Las Flores	0.587062944	0.006782193	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	LAS FLORES	LEMPIRA,LAS FLORES			268	Occidental
270	13	LEMPIRA	1313	Lepaera	0.712600797	0.02604932	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	LEPAERA	LEMPIRA,LEPAERA			269	Occidental
271	13	LEMPIRA	1316	San Andrés	0.729447092	0.02067182	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	SAN ANDRES	LEMPIRA,SAN ANDRES			270	Occidental
272	13	LEMPIRA	1317	San Francisco	0.549976208	0.01151847	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	SAN FRANCISCO	LEMPIRA,SAN FRANCISCO			271	Occidental
273	13	LEMPIRA	1320	San Rafael	0.478429866	0.008515584	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	SAN RAFAEL	LEMPIRA,SAN RAFAEL			272	Occidental
274	13	LEMPIRA	1321	San Sebastián	0.658561428	0.018595256	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	SAN SEBASTIAN	LEMPIRA,SAN SEBASTIAN			273	Occidental
275	13	LEMPIRA	1322	Santa Cruz	0.632802894	0.012682486	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	SANTA CRUZ	LEMPIRA,SANTA CRUZ			274	Occidental
276	13	LEMPIRA	1324	Tambla	0.503556054	0.004904283	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	TAMBLA	LEMPIRA,TAMBLA			275	Occidental
277	13	LEMPIRA	1325	Tomalá	0.37464391	0.003991275	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	TOMALA	LEMPIRA,TOMALA			276	Occidental
278	13	LEMPIRA	1326	Valladolid	0.375089392	0.00655563	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	VALLADOLID	LEMPIRA,VALLADOLID			277	Occidental
279	13	LEMPIRA	1328	San Marcos de Caiquin	0.485476814	0.008094082	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	SAN MARCOS DE CAIQUIN	LEMPIRA,SAN MARCOS DE CAIQUIN			278	Occidental
289	5	CORTES	506	Puerto Cortés	1.611074469	0.032506641	HND	Honduras	Cortez	Municipality	Municipio	CORTES	CORTES	PUERTO CORTES	CORTES,PUERTO CORTES			288	Noroccidental
296	13	LEMPIRA	1323	Talgua	0.424860004	0.006953446	HND	Honduras	Gracias	Municipality	Municipio	LEMPIRA	LEMPIRA	TALGUA	LEMPIRA,TALGUA			295	Occidental
