objectid	cod_depto	depto	cod_municipio	municipio	shape_Length	shape_Area	ISO	Pais	VARNAME_1	ENGTYPE_2	TYPE_2	NAME_1	DEPARTAMENTO	MUNICIPIOS	DEPTO_MUN	Columna1	Columna2	Índice	REGION
191	18	YORO	1810	Victoria	1.681858727	0.066566529	HND	Honduras		Municipality	Municipio	VALLE	YORO	VICTORIA	YORO,VICTORIA			190	Noroccidental
192	18	YORO	1811	Yorito	0.720839959	0.017496985	HND	Honduras		Municipality	Municipio	VALLE	YORO	YORITO	YORO,YORITO			191	Noroccidental
194	9	GRACIAS A_DIOS	904	Juan Francisco Bulnes	2.426401174	0.059277536	HND	Honduras		Municipality	Municipio	GRACIAS A DIOS	GRACIAS A DIOS	JUAN FRANCISCO BULNES	GRACIAS A DIOS,JUAN FRANCISCO BULNES			193	Nororiental
195	9	GRACIAS A_DIOS	906	Wampusirpi	2.775267362	0.211606774	HND	Honduras		Municipality	Municipio	GRACIAS A DIOS	GRACIAS A DIOS	WAMPUSIRPI	GRACIAS A DIOS,WAMPUSIRPI			194	Nororiental
196	9	GRACIAS A_DIOS	901	Puerto Lempira	10.88416289	0.60387739	HND	Honduras		Municipality	Municipio	GRACIAS A DIOS	GRACIAS A DIOS	PUERTO LEMPIRA	GRACIAS A DIOS,PUERTO LEMPIRA			195	Nororiental
197	14	OCOTEPEQUE	1412	San Jorge	0.596538939	0.004950359	HND	Honduras		Municipality	Municipio	OCOTEPEQUE	OCOTEPEQUE	SAN JORGE	OCOTEPEQUE,SAN JORGE			196	Occidental
198	4	COPAN	421	Santa Rita	0.734777571	0.026370395	HND	Honduras		Municipality	Municipio	COPAN	COPAN	SANTA RITA	COPAN,SANTA RITA			197	Occidental
199	3	COMAYAGUA	301	Comayagua	1.639219391	0.069982761	HND	Honduras		Municipality	Municipio	COMAYAGUA	COMAYAGUA	COMAYAGUA	COMAYAGUA,COMAYAGUA			198	Centro Occidental
200	3	COMAYAGUA	302	Ajuterique	0.346354703	0.005171373	HND	Honduras		Municipality	Municipio	COMAYAGUA	COMAYAGUA	AJUTERIQUE	COMAYAGUA,AJUTERIQUE			199	Centro Occidental
201	3	COMAYAGUA	303	El Rosario	1.130912896	0.024975438	HND	Honduras		Municipality	Municipio	COMAYAGUA	COMAYAGUA	EL ROSARIO	COMAYAGUA,EL ROSARIO			200	Centro Occidental
202	3	COMAYAGUA	304	Esquías	1.163024032	0.032674278	HND	Honduras		Municipality	Municipio	COMAYAGUA	COMAYAGUA	ESQUIAS	COMAYAGUA,ESQUIAS			201	Centro Occidental
203	3	COMAYAGUA	305	Humuya	0.458201152	0.004541246	HND	Honduras		Municipality	Municipio	COMAYAGUA	COMAYAGUA	HUMUYA	COMAYAGUA,HUMUYA			202	Centro Occidental
204	3	COMAYAGUA	306	La Libertad	1.195193661	0.026941141	HND	Honduras		Municipality	Municipio	COMAYAGUA	COMAYAGUA	LA LIBERTAD	COMAYAGUA,LA LIBERTAD			203	Centro Occidental
205	3	COMAYAGUA	307	Lamaní	0.934290212	0.025727647	HND	Honduras		Municipality	Municipio	COMAYAGUA	COMAYAGUA	LAMANI	COMAYAGUA,LAMANI			204	Centro Occidental
206	3	COMAYAGUA	308	La Trinidad	0.42048887	0.00716651	HND	Honduras		Municipality	Municipio	COMAYAGUA	COMAYAGUA	LA TRINIDAD	COMAYAGUA,LA TRINIDAD			205	Centro Occidental
207	3	COMAYAGUA	309	Lejamaní	0.225053488	0.001888351	HND	Honduras		Municipality	Municipio	COMAYAGUA	COMAYAGUA	LEJAMANI	COMAYAGUA,LEJAMANI			206	Centro Occidental
208	3	COMAYAGUA	310	Meámbar	0.922724532	0.034423238	HND	Honduras		Municipality	Municipio	COMAYAGUA	COMAYAGUA	MEAMBAR	COMAYAGUA,MEAMBAR			207	Centro Occidental
209	3	COMAYAGUA	313	San Jerónimo	0.66556769	0.019112638	HND	Honduras		Municipality	Municipio	COMAYAGUA	COMAYAGUA	SAN JERONIMO	COMAYAGUA,SAN JERONIMO			208	Centro Occidental
210	3	COMAYAGUA	314	San José de Comayagua	0.418173386	0.006619089	HND	Honduras		Municipality	Municipio	COMAYAGUA	COMAYAGUA	SAN JOSE DE COMAYAGUA	COMAYAGUA,SAN JOSE DE COMAYAGUA			209	Centro Occidental
211	9	GRACIAS A_DIOS	905	Villeda Morales	1.546924565	0.050818012	HND	Honduras		Municipality	Municipio	GRACIAS A DIOS	GRACIAS A DIOS	VILLEDA MORALES	GRACIAS A DIOS,VILLEDA MORALES			210	Nororiental
214	1	ATLANTIDA	107	Tela	2.701818522	0.097566694	HND	Honduras		Municipality	Municipio	ATLANTIDA	ATLANTIDA	TELA	ATLANTIDA,TELA			213	Nororiental
215	18	YORO	1804	El Progreso	1.909647788	0.044997524	HND	Honduras		Municipality	Municipio	VALLE	YORO	EL PROGRESO	YORO,EL PROGRESO			214	Noroccidental
216	2	COLON	203	Iriona	2.794447839	0.325110449	HND	Honduras		Municipality	Municipio	COLON	COLON	IRIONA	COLON,IRIONA			215	Nororiental
217	4	COPAN	402	Cabañas	0.451981498	0.010741196	HND	Honduras		Municipality	Municipio	COPAN	COPAN	CABAÑAS	COPAN,CABAÑAS			216	Occidental
218	4	COPAN	403	Concepción	0.524140273	0.006131896	HND	Honduras		Municipality	Municipio	COPAN	COPAN	CONCEPCION	COPAN,CONCEPCION			217	Occidental
219	4	COPAN	404	Copán Ruinas	1.192788419	0.030280096	HND	Honduras		Municipality	Municipio	COPAN	COPAN	COPAN RUINAS	COPAN,COPAN RUINAS			218	Occidental
220	4	COPAN	406	Cucuyagua	0.575628376	0.011421169	HND	Honduras		Municipality	Municipio	COPAN	COPAN	CUCUYAGUA	COPAN,CUCUYAGUA			219	Occidental
221	4	COPAN	407	Dolores	0.370809608	0.003998483	HND	Honduras		Municipality	Municipio	COPAN	COPAN	DOLORES	COPAN,DOLORES			220	Occidental
222	4	COPAN	408	Dulce Nombre	0.283632785	0.002381173	HND	Honduras		Municipality	Municipio	COPAN	COPAN	DULCE NOMBRE	COPAN,DULCE NOMBRE			221	Occidental
223	4	COPAN	409	El Paraíso	0.693931302	0.021591078	HND	Honduras		Municipality	Municipio	COPAN	COPAN	EL PARAISO	COPAN,EL PARAISO			222	Occidental
224	4	COPAN	412	La Unión	0.670017878	0.018312675	HND	Honduras		Municipality	Municipio	COPAN	COPAN	LA UNION	COPAN,LA UNION			223	Occidental
225	4	COPAN	414	San Agustín	0.36733822	0.005831861	HND	Honduras		Municipality	Municipio	COPAN	COPAN	SAN AGUSTIN	COPAN,SAN AGUSTIN			224	Occidental
226	4	COPAN	415	San Antonio	0.465928846	0.009973252	HND	Honduras		Municipality	Municipio	COPAN	COPAN	SAN ANTONIO	COPAN,SAN ANTONIO			225	Occidental
227	4	COPAN	416	San Jerónimo	0.43819659	0.005910338	HND	Honduras		Municipality	Municipio	COPAN	COPAN	SAN JERONIMO	COPAN,SAN JERONIMO			226	Occidental
228	4	COPAN	420	San Pedro	0.440119076	0.005045114	HND	Honduras		Municipality	Municipio	COPAN	COPAN	SAN PEDRO	COPAN,SAN PEDRO			227	Occidental
229	4	COPAN	422	Trinidad de Copán	0.4401087	0.006249825	HND	Honduras		Municipality	Municipio	COPAN	COPAN	TRINIDAD DE COPAN	COPAN,TRINIDAD DE COPAN			228	Occidental
230	14	OCOTEPEQUE	1405	Fraternidad	0.459720262	0.007756727	HND	Honduras		Municipality	Municipio	OCOTEPEQUE	OCOTEPEQUE	FRATERNIDAD	OCOTEPEQUE,FRATERNIDAD			229	Occidental
